Sample,Groups,Acetic acid ,Propanoic acid ,Isobutyric acid,N-butyric acid,Isovaleric acid,N-valeric acid,Totle acid
Con_1,Control,50.92 ,4.86 ,1.02 ,8.27 ,0.65 ,1.02 ,66.73 
Con_2,Control,34.15 ,4.54 ,0.46 ,4.00 ,0.38 ,0.65 ,44.17 
Con_3,Control,56.66 ,6.64 ,0.72 ,5.44 ,0.39 ,0.93 ,70.78 
Con_4,Control,41.47 ,4.08 ,0.33 ,3.29 ,0.30 ,0.51 ,49.99 
Con_5,Control,35.71 ,3.58 ,0.47 ,4.10 ,0.34 ,0.49 ,44.69 
Con_6,Control,50.43 ,8.28 ,1.09 ,7.75 ,0.60 ,1.17 ,69.33 
Con_7,Control,45.79 ,8.37 ,0.67 ,7.13 ,0.36 ,0.81 ,63.14 
Con_8,Control,55.10 ,7.33 ,0.98 ,7.25 ,0.50 ,0.75 ,71.91 
Con_9,Control,33.33 ,5.16 ,0.45 ,5.93 ,0.27 ,1.01 ,46.15 
Con_10,Control,34.36 ,3.85 ,0.49 ,3.89 ,0.29 ,0.84 ,43.72 
C2_1,C2,47.03 ,5.00 ,0.72 ,8.07 ,0.40 ,1.23 ,62.44 
C2_2,C2,54.73 ,7.81 ,0.96 ,7.72 ,0.74 ,1.13 ,73.09 
C2_3,C2,49.90 ,9.94 ,0.63 ,6.23 ,0.36 ,0.95 ,68.01 
C2_4,C2,46.51 ,10.73 ,0.76 ,7.74 ,0.52 ,0.94 ,67.20 
C2_5,C2,52.42 ,8.07 ,0.75 ,5.69 ,0.43 ,0.67 ,68.02 
C2_6,C2,78.79 ,10.73 ,1.08 ,5.54 ,0.77 ,2.03 ,98.94 
C2_7,C2,49.29 ,7.91 ,0.47 ,7.50 ,0.35 ,0.63 ,66.16 
C2_8,C2,82.51 ,11.15 ,0.83 ,10.05 ,0.49 ,1.53 ,106.56 
C2_9,C2,75.21 ,8.85 ,0.86 ,7.14 ,0.46 ,0.82 ,93.34 
C2_10,C2,60.85 ,9.72 ,0.79 ,6.44 ,0.57 ,1.23 ,79.61 
Est_1,Est,47.29 ,6.35 ,0.64 ,7.59 ,0.36 ,1.13 ,63.35 
Est_2,Est,76.36 ,10.08 ,1.06 ,8.39 ,0.65 ,1.01 ,97.55 
Est_3,Est,40.92 ,8.17 ,0.91 ,3.99 ,0.39 ,0.72 ,55.09 
Est_4,Est,35.92 ,6.81 ,0.74 ,6.52 ,0.40 ,1.19 ,51.57 
Est_5,Est,44.43 ,7.81 ,0.70 ,6.74 ,0.43 ,0.79 ,60.90 
Est_6,Est,52.12 ,8.57 ,0.85 ,7.06 ,0.56 ,0.95 ,70.10 
Est_7,Est,80.12 ,11.32 ,1.24 ,11.14 ,0.86 ,2.14 ,106.83 
Est_8,Est,49.67 ,7.46 ,0.70 ,5.62 ,0.46 ,1.21 ,65.12 
Est_9,Est,89.03 ,13.27 ,1.08 ,5.82 ,0.95 ,1.23 ,111.39 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.007296549,0.000818911,0.258055241,0.049370896,0.127182895,0.064214766,0.003347542
,,0.063012189,0.003408544,0.077770123,0.162852013,0.078871391,0.039359745,0.038473408
