Name,Anaerostipes,Anaerotignum,Marvinbryantia,Butyrivibrio,Acetivibrio,Eisenbergiella,Kineothrix,Oscillibacter,Lachnoclostridium,Anaerotruncus,Flavonifractor,Parabacteroides,Bacteroides,Absiella,Muribaculum,Streptococcus,Akkermansia,Lactobacillus,Amine and Polyamine Biosynthesis,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,Glycolysis,superpathway of L-aspartate and L-asparagine biosynthesis,glyoxylate cycle,Secondary Metabolite Biosynthesis,Metabolic Regulator Biosynthesis,L-glutamate and L-glutamine biosynthesis,Photosynthesis,Glycan Biosynthesis,"superpathway of glycolysis, pyruvate dehydrogenase, TCA",Cell Structure Biosynthesis,Antibiotic Resistance,pyrimidine deoxyribonucleotides de novo biosynthesis III,Amino Acid Biosynthesis,Aromatic Compound Degradation,Nucleic Acid Processing,Aldehyde Degradation,Palmitoylcarnitine,O-Dodecanoylcarnitine,L-Arachidonoylcarnitine,Oleoyl-L-carnitine,N1-Methyladenosine,AMP,N-Oleoylglycine,2-Arachidonoylglycerol,DL-Aspartic acid,DL-Methionine,Octadecanamide,Docosatrienoic acid,"5,8,11,14-Icosatetraenoic Acid",1-Palmitoylphosphatidylcholine,LysoPE(16:0),PC(16:0/16:0),Dopamine
K1,10,0,20,14,20,32,142,100,4000,9,423,111,2714,50,6525,16,91,400,522.1,0.22,3768.99,5332.16,1503.74,3.19,6787.25,1.07,505.91,1675.64,1331.71,12.9,11187.64,1113.09,176.77,31433.85,20.37,1167.64,0.75,45851076,6354640,21392122,36672388,853779,914158,1200430,2285678,69483712,18307048,30576310,3037582,621020,19961932,6219065,44114332,4939343
K2,28,733,50,817,60,305,800,452,7392,122,980,74,339,13,7252,6,153,220,172.41,0.12,2893.71,3657.81,1507.58,1.59,5368.79,0.47,1669.28,1957.49,1855.39,3.97,9326.66,582.22,119.24,38179.21,2.01,411.56,0.08,95237872,7196822,17619824,62165816,1161871,2052939,1501909,2471726,67396896,18098028,18734132,2034641,452489,26324214,7238586,82258936,4382048
K3,65,295,307,806,88,111,801,321,8348,221,1194,30,913,21,5457,6,2,301,158.19,0,3274,4082.58,1423.48,0.37,5408,0,1619.86,1925.56,1815.21,1.57,9432.07,536.14,168.36,38009.57,0,589.34,0,15885513,2172369,9396815,12600255,343682,271891,980848,2366499,45417492,5803764,15645728,2080365,301604,5886865,3703351,12571804,2365938
K4,4,134,429,371,99,280,557,284,3220,137,586,110,2260,51,14225,5,142,1879,442.24,0,3667.56,4886.41,1411.09,1.35,6125.68,0.84,1300.32,1872.09,1688.74,5.26,10047.94,660.17,411.92,37512.4,2.69,922.5,0.26,81943984,8020990,29948952,56124368,474952,1456854,2200672,2917938,58089404,12845987,12078256,3004571,599476,20871782,6904694,64755992,3120710
K5,65,628,48,510,0,100,175,506,6165,216,1471,69,952,38,8566,16,10,624,190.91,0.07,3169.23,4278.6,1485.81,1.03,5574.23,0.17,1504.91,1922.43,1811.65,1.32,9661.33,663.62,242.41,38112.25,0.35,581.81,0.17,35226440,5522552,13971628,25167510,740758,418212,762794,1429721,89051128,29676500,28946890,1486721,365595,8297342,3154338,28094198,5304914
B1,0,66,9,114,15,118,101,245,2694,61,840,114,1468,92,27800,10,89,6783,634.64,0.36,3710.12,5554.08,1684.54,3.13,6717.82,0.22,845.06,1757.18,1529.24,7.74,11074.49,1237.9,217.16,33760.67,7.88,821.83,0.22,172410688,25707068,93771064,157564368,3519764,3449814,6654470,6831780,152867520,39319232,19353424,20809056,1993588,58158456,19990186,156107968,9390170
B2,0,12,33,57,0,5,74,113,1714,51,194,121,5942,27,29033,22,121,2256,560.53,3.79,3899.48,5152.61,1681.99,4.75,6314.49,3.23,701.28,1715.69,1405.93,14.37,10315.09,683.41,399.23,33556.92,7.34,1152.34,2.49,272512512,19245292,98587008,180421984,6161678,3660329,5441782,4680572,169220016,70198528,67429232,14567674,2114465,63469992,19240632,146554688,12572821
B3,7,0,0,0,12,31,229,69,3214,117,682,106,4263,98,26619,48,427,4662,772.61,1.38,3803.15,5267.94,1520.88,10.98,6487.22,5.32,717.92,1660.96,1544.06,42.8,10785.62,1117.93,352.74,35244.47,67.12,1095.96,4.26,96683608,10222467,70388088,78483104,1909761,1847323,3715214,7268838,132245744,43424828,58458264,7796066,1456850,38937052,15966286,80781888,4974869
B4,0,0,5,63,0,3,284,97,1992,58,436,257,4250,150,16521,30,433,6024,717.13,3.07,3979.2,5504.83,1540.72,5.01,6898.24,2.28,786.82,1793.08,1366.88,18.15,11028.65,1011.5,442.87,32999.92,35.11,1090.09,0.1,456510080,40454256,174061056,347041216,4296486,8061966,10146234,9095616,153674976,44727556,47650224,23385556,3182949,87729456,31450402,277574976,10141127
B5,0,0,5,4,0,0,14,12,866,9,301,174,2232,84,10691,21,127,12691,928.57,1.99,4085.19,5512.35,1535.27,4.63,7000.31,3.37,622.3,1647.72,1316.78,20.13,12464.52,1592.82,488.09,31347.94,98.09,1008.86,1.68,406741888,27424904,144192288,294623904,3143040,6563396,9071418,7353280,169816960,60104040,89930960,15665276,3054986,119786704,31943870,267745904,8185773
