Sample,Groups,5-HT,ACH,GABA,GLY,TAU
Con_2,Control,9.772105098,24.60613162,5371.678836,737.60604,30099.20116
Con_3,Control,7.349197609,22.97846818,4226.332376,765.9399389,31969.30945
Con_4,Control,11.84101636,28.06633924,5833.236364,723.5239226,38526.23231
Con_5,Control,11.75448395,28.45333614,5391.62268,827.8673227,37695.07307
Con_6,Control,12.47820957,20.25810759,5041.180852,935.6040041,39542.0936
Con_7,Control,13.0996696,21.24836437,5611.004962,888.2677299,33804.78609
Con_8,Control,12.48607615,21.13454175,4723.503911,760.850017,30283.90322
C2_1,HIBA,14.11445878,35.31684006,5148.022873,1030.615881,38272.26699
C2_2,HIBA,15.99457206,37.80955541,5957.173108,1134.959281,41342.93861
C2_3,HIBA,12.76927313,26.34761769,5266.261375,867.738378,34739.84023
C2_4,HIBA,16.9778949,25.26630281,6012.730959,924.5758398,48407.79212
C2_5,HIBA,13.44579924,39.45998338,5922.983662,1022.980998,39634.44462
C2_6,HIBA,12.6434078,35.61277887,6195.074674,957.6603325,36032.7546
C2_7,HIBA,12.43887665,31.05987411,6065.439689,848.2270105,41527.64066
C2_8,HIBA,16.50589994,25.42565448,5321.819226,1106.96471,38456.96904
